"2pt[00]",2.065987,0.546447,1.909554,2.478386,2.133249,2.726859,1.859613,1.824324,3.09111,2.108183,2.610756,1.879157,2.480189,2.422917,3.872855,0.955391,1.237237,2.516921,1.903215,1.751582,2.146558,2.768551,2.368148,3.264396,3.176926,2.199445,0.819281,1.780179,2.604974,1.482265,3.265039,1.917384,1.693831,0.95411,1.444644,3.650448,2.699699,3.633825,2.786449,3.281679,3.944339,0.717894,2.288501,0.692215,1.23445,2.05692,2.849681,1.674337,1.188971,1.886972,3.373271,1.659455,2.09397,2.95281,1.634896,1.50011,1.949904,1.385321,1.11866,3.291446,1.31839,2.329188,1.311041,0.983282,1.115541,0.999273,2.109112,3.176943,0.760763,2.1851,2.068645,3.081697,3.393391,0.872461,3.190378,2.967592,1.97105,1.356361,1.756381,2.476985,3.195322,2.562505,2.629685,1.863427,2.239597,2.209998,2.75047,1.984973,2.046245,0.79462,2.325268,1.531801,1.720694,3.376438,1.822832,2.983326,2.182957,1.006577,2.571055,1.581427,2.065987,0.546447,1.909554,2.478386,2.133249,2.726859,1.859613,1.824324,3.09111,2.108183,2.610756,1.879157,2.480189,2.422917,3.872855,0.955391,1.237237,2.516921,1.903215,1.751582,2.146558,2.768551,2.368148,3.264396,3.176926,2.199445,0.819281,1.780179,2.604974,1.482265,3.265039,1.917384,1.693831,0.95411,1.444644,3.650448,2.699699,3.633825,2.786449,3.281679,3.944339,0.717894,2.288501,0.692215,1.23445,2.05692,2.849681,1.674337,1.188971,1.886972,3.373271,1.659455,2.09397,2.95281,1.634896,1.50011,1.949904,1.385321,1.11866,3.291446,1.31839,2.329188,1.311041,0.983282,1.115541,0.999273,2.109112,3.176943,0.760763,2.1851,2.068645,3.081697,3.393391,0.872461,3.190378,2.967592,1.97105,1.356361,1.756381,2.476985,3.195322,2.562505,2.629685,1.863427,2.239597,2.209998,2.75047,1.984973,2.046245,0.79462,2.325268,1.531801,1.720694,3.376438,1.822832,2.983326,2.182957,1.006577,2.571055,1.581427
"2pt[01]",2.008804,1.825315,1.578411,1.811837,2.675609,1.640469,2.350853,2.332776,1.5739,0.810644,0.988263,2.611192,2.785935,0.056629,2.66965,0.936914,1.44586,1.79543,1.875009,2.078168,0.618109,1.479742,1.44641,0.516194,1.317929,1.203488,1.187098,1.947961,1.738241,1.983994,2.145815,0.823426,2.392872,1.154302,2.171137,1.841951,1.747769,1.454973,2.99396,0.753307,2.311139,0.881111,1.693658,2.651472,2.545519,2.284602,2.351666,3.041839,1.706588,1.966759,0.065237,1.510812,1.724232,0.748613,2.327943,2.659514,2.82823,0.145241,0.508155,2.120695,1.976564,2.640299,2.507211,2.124176,1.570224,2.342131,0.66346,2.271541,1.671707,0.921704,1.645239,0.374587,1.144204,1.713985,1.103409,1.515715,-0.570574,0.66967,1.899519,1.845736,2.723192,0.927283,1.855799,1.148527,1.362038,1.304319,1.917635,1.295088,1.239005,1.808769,3.236076,0.600237,1.279257,2.342598,3.45375,2.735761,1.625463,1.039958,2.691279,2.313112,2.008804,1.825315,1.578411,1.811837,2.675609,1.640469,2.350853,2.332776,1.5739,0.810644,0.988263,2.611192,2.785935,0.056629,2.66965,0.936914,1.44586,1.79543,1.875009,2.078168,0.618109,1.479742,1.44641,0.516194,1.317929,1.203488,1.187098,1.947961,1.738241,1.983994,2.145815,0.823426,2.392872,1.154302,2.171137,1.841951,1.747769,1.454973,2.99396,0.753307,2.311139,0.881111,1.693658,2.651472,2.545519,2.284602,2.351666,3.041839,1.706588,1.966759,0.065237,1.510812,1.724232,0.748613,2.327943,2.659514,2.82823,0.145241,0.508155,2.120695,1.976564,2.640299,2.507211,2.124176,1.570224,2.342131,0.66346,2.271541,1.671707,0.921704,1.645239,0.374587,1.144204,1.713985,1.103409,1.515715,-0.570574,0.66967,1.899519,1.845736,2.723192,0.927283,1.855799,1.148527,1.362038,1.304319,1.917635,1.295088,1.239005,1.808769,3.236076,0.600237,1.279257,2.342598,3.45375,2.735761,1.625463,1.039958,2.691279,2.313112
"2pt[02]",2.853162,-0.177905,1.441731,1.29095,0.456529,1.275664,1.595198,1.845545,1.029301,2.511574,0.618862,1.875106,0.859189,2.272997,1.275431,0.980471,1.687081,1.271284,0.515303,1.932026,0.990919,1.619713,0.712036,0.299974,1.685498,0.968847,1.464018,2.588429,1.85314,0.366366,1.569821,1.076724,3.042332,1.848245,1.433495,0.456582,2.676844,0.208691,2.655732,1.634016,1.503055,1.74565,1.504751,1.144873,1.284365,0.105081,0.336973,0.652886,0.323467,1.495096,1.459734,1.849022,1.351013,0.424744,0.810624,1.514511,0.181743,1.325874,0.46206,0.361681,1.498538,1.008804,0.96612,2.36313,1.86006,1.407812,2.256038,1.937092,0.287985,2.169024,0.939439,0.191947,0.965743,1.757429,1.337986,0.432135,1.339491,1.136521,0.39849,1.368686,0.831933,0.902093,1.779038,1.329098,0.617244,2.313103,0.767142,1.899878,1.302131,1.352249,0.459218,1.130927,0.143302,2.041228,1.364846,1.514128,1.407598,1.830839,0.898013,1.128422,2.853162,-0.177905,1.441731,1.29095,0.456529,1.275664,1.595198,1.845545,1.029301,2.511574,0.618862,1.875106,0.859189,2.272997,1.275431,0.980471,1.687081,1.271284,0.515303,1.932026,0.990919,1.619713,0.712036,0.299974,1.685498,0.968847,1.464018,2.588429,1.85314,0.366366,1.569821,1.076724,3.042332,1.848245,1.433495,0.456582,2.676844,0.208691,2.655732,1.634016,1.503055,1.74565,1.504751,1.144873,1.284365,0.105081,0.336973,0.652886,0.323467,1.495096,1.459734,1.849022,1.351013,0.424744,0.810624,1.514511,0.181743,1.325874,0.46206,0.361681,1.498538,1.008804,0.96612,2.36313,1.86006,1.407812,2.256038,1.937092,0.287985,2.169024,0.939439,0.191947,0.965743,1.757429,1.337986,0.432135,1.339491,1.136521,0.39849,1.368686,0.831933,0.902093,1.779038,1.329098,0.617244,2.313103,0.767142,1.899878,1.302131,1.352249,0.459218,1.130927,0.143302,2.041228,1.364846,1.514128,1.407598,1.830839,0.898013,1.128422
"2pt[03]",2.134702,1.389999,0.838266,1.085037,0.67354,1.857363,1.468791,1.797184,1.722815,0.894333,1.779014,0.665603,1.454145,0.707051,0.550431,2.882546,1.563404,1.763006,1.465752,0.76668,-0.264948,0.785129,1.057324,2.018448,1.38168,2.054776,0.918285,1.200379,1.351745,1.708889,0.774281,0.377008,1.472767,1.515476,1.424228,0.918154,1.813556,1.787763,0.505064,0.673952,0.620783,0.345063,0.883546,2.033004,1.106355,0.201874,1.530495,1.506177,-0.216513,0.849362,1.824866,2.387529,2.007215,-0.375768,0.960923,2.244267,0.598676,2.033616,0.7467,0.83931,0.7942,1.566113,1.598843,1.960579,1.021991,1.24791,2.009652,0.663156,1.884571,0.938346,1.866516,0.726908,2.169031,0.2057,0.715127,1.010514,1.25376,1.387894,1.446046,0.30197,0.360193,0.433564,0.6829,1.004717,0.6549,1.532225,1.174851,0.830983,1.236343,1.133962,2.177533,0.639624,0.73439,1.214187,1.026122,1.684036,1.857028,1.014362,2.158908,0.55696,2.134702,1.389999,0.838266,1.085037,0.67354,1.857363,1.468791,1.797184,1.722815,0.894333,1.779014,0.665603,1.454145,0.707051,0.550431,2.882546,1.563404,1.763006,1.465752,0.76668,-0.264948,0.785129,1.057324,2.018448,1.38168,2.054776,0.918285,1.200379,1.351745,1.708889,0.774281,0.377008,1.472767,1.515476,1.424228,0.918154,1.813556,1.787763,0.505064,0.673952,0.620783,0.345063,0.883546,2.033004,1.106355,0.201874,1.530495,1.506177,-0.216513,0.849362,1.824866,2.387529,2.007215,-0.375768,0.960923,2.244267,0.598676,2.033616,0.7467,0.83931,0.7942,1.566113,1.598843,1.960579,1.021991,1.24791,2.009652,0.663156,1.884571,0.938346,1.866516,0.726908,2.169031,0.2057,0.715127,1.010514,1.25376,1.387894,1.446046,0.30197,0.360193,0.433564,0.6829,1.004717,0.6549,1.532225,1.174851,0.830983,1.236343,1.133962,2.177533,0.639624,0.73439,1.214187,1.026122,1.684036,1.857028,1.014362,2.158908,0.55696
"2pt[04]",1.366875,0.614479,0.631003,1.263139,0.61439,1.31336,0.943573,0.744035,0.724793,0.642231,0.342031,0.568741,0.584858,0.812191,0.302141,0.691039,1.125211,0.315337,0.685769,1.159372,1.417886,0.637072,1.214822,1.165657,0.699734,1.053961,1.226545,0.458558,1.153504,1.304369,0.286809,0.751622,1.567931,0.665141,0.659093,0.917007,1.273864,0.462178,1.474475,0.324403,1.068273,1.225148,0.689368,0.132671,0.364913,1.365931,1.251717,1.38186,0.828809,0.762509,0.854173,0.784936,0.626223,0.848627,0.846757,0.482183,0.810614,0.834225,0.836259,0.957203,0.294662,1.190816,1.594247,0.400335,0.889701,0.678587,0.486895,1.163396,1.090291,1.129235,0.080896,1.131705,0.921625,0.78771,1.414451,0.924416,0.373798,0.715897,-0.084093,0.904418,0.104445,1.71999,0.25954,0.446542,0.907137,1.000784,0.625641,0.910661,1.459263,0.78257,1.772097,0.180393,0.834273,1.519955,0.479617,0.750869,0.847715,0.873526,1.282309,0.274707,1.366875,0.614479,0.631003,1.263139,0.61439,1.31336,0.943573,0.744035,0.724793,0.642231,0.342031,0.568741,0.584858,0.812191,0.302141,0.691039,1.125211,0.315337,0.685769,1.159372,1.417886,0.637072,1.214822,1.165657,0.699734,1.053961,1.226545,0.458558,1.153504,1.304369,0.286809,0.751622,1.567931,0.665141,0.659093,0.917007,1.273864,0.462178,1.474475,0.324403,1.068273,1.225148,0.689368,0.132671,0.364913,1.365931,1.251717,1.38186,0.828809,0.762509,0.854173,0.784936,0.626223,0.848627,0.846757,0.482183,0.810614,0.834225,0.836259,0.957203,0.294662,1.190816,1.594247,0.400335,0.889701,0.678587,0.486895,1.163396,1.090291,1.129235,0.080896,1.131705,0.921625,0.78771,1.414451,0.924416,0.373798,0.715897,-0.084093,0.904418,0.104445,1.71999,0.25954,0.446542,0.907137,1.000784,0.625641,0.910661,1.459263,0.78257,1.772097,0.180393,0.834273,1.519955,0.479617,0.750869,0.847715,0.873526,1.282309,0.274707
"2pt[05]",1.262101,0.644957,0.803144,0.847599,0.234579,0.754406,1.448844,0.399766,1.25779,1.054815,1.544503,0.779585,0.557905,0.635581,0.376986,0.57066,0.326212,0.597367,1.382652,0.490568,0.042551,1.061268,0.752363,0.167794,0.758781,0.763535,0.837907,0.13732,-0.102452,0.506343,0.619435,0.723426,0.97481,0.55817,0.823566,0.847293,0.493911,0.899499,1.353127,0.616089,0.702982,1.184684,0.070094,0.79505,0.795501,0.651826,0.526967,1.16576,0.208092,0.869363,1.049817,1.356547,0.781745,0.138695,0.702154,1.451505,0.056277,0.703722,0.806559,0.465914,1.216003,0.997706,0.461706,0.85778,0.911073,0.708162,1.087976,0.371095,0.261734,1.003703,0.526112,1.069762,-0.339118,0.618221,0.703419,1.093406,0.811549,0.397544,0.548078,0.071712,-0.173629,0.217625,1.427173,0.412948,1.352365,1.377549,1.459355,1.236473,0.952401,0.987666,0.781042,0.047501,0.215038,1.055295,1.105771,0.636689,0.753093,0.417542,0.858649,-0.255964,1.262101,0.644957,0.803144,0.847599,0.234579,0.754406,1.448844,0.399766,1.25779,1.054815,1.544503,0.779585,0.557905,0.635581,0.376986,0.57066,0.326212,0.597367,1.382652,0.490568,0.042551,1.061268,0.752363,0.167794,0.758781,0.763535,0.837907,0.13732,-0.102452,0.506343,0.619435,0.723426,0.97481,0.55817,0.823566,0.847293,0.493911,0.899499,1.353127,0.616089,0.702982,1.184684,0.070094,0.79505,0.795501,0.651826,0.526967,1.16576,0.208092,0.869363,1.049817,1.356547,0.781745,0.138695,0.702154,1.451505,0.056277,0.703722,0.806559,0.465914,1.216003,0.997706,0.461706,0.85778,0.911073,0.708162,1.087976,0.371095,0.261734,1.003703,0.526112,1.069762,-0.339118,0.618221,0.703419,1.093406,0.811549,0.397544,0.548078,0.071712,-0.173629,0.217625,1.427173,0.412948,1.352365,1.377549,1.459355,1.236473,0.952401,0.987666,0.781042,0.047501,0.215038,1.055295,1.105771,0.636689,0.753093,0.417542,0.858649,-0.255964
"2pt[06]",0.928437,0.651738,0.907422,0.551172,0.899763,0.421992,0.698701,0.376831,0.32506,0.521828,0.264104,0.549903,0.311594,0.436184,0.709236,0.782322,0.478457,0.548814,1.057194,1.236694,0.681526,1.286254,0.547826,0.945861,0.554573,0.054241,1.200478,0.707355,0.315839,1.095923,0.253761,0.511632,0.320925,0.640515,0.769411,0.353175,0.817966,0.584822,0.834582,0.218536,0.776046,0.826538,0.518538,0.402073,0.089,0.588009,0.593715,0.432771,0.502452,0.328873,0.553923,0.859037,0.644664,0.566257,0.70998,0.682749,0.967729,0.485383,0.783784,0.7331,0.866,0.448858,0.984822,0.469541,0.241837,0.657064,0.926127,0.825914,1.059011,1.095678,0.910454,0.824792,0.52165,-0.033134,0.435884,0.312847,0.490141,0.944602,0.115959,0.960224,0.978424,0.561936,0.676671,1.015711,0.895854,1.069328,0.437065,1.077191,0.9425,1.195006,0.382952,0.79946,0.285594,1.161863,0.605474,0.536933,0.205403,0.409817,0.40059,0.973493,0.928437,0.651738,0.907422,0.551172,0.899763,0.421992,0.698701,0.376831,0.32506,0.521828,0.264104,0.549903,0.311594,0.436184,0.709236,0.782322,0.478457,0.548814,1.057194,1.236694,0.681526,1.286254,0.547826,0.945861,0.554573,0.054241,1.200478,0.707355,0.315839,1.095923,0.253761,0.511632,0.320925,0.640515,0.769411,0.353175,0.817966,0.584822,0.834582,0.218536,0.776046,0.826538,0.518538,0.402073,0.089,0.588009,0.593715,0.432771,0.502452,0.328873,0.553923,0.859037,0.644664,0.566257,0.70998,0.682749,0.967729,0.485383,0.783784,0.7331,0.866,0.448858,0.984822,0.469541,0.241837,0.657064,0.926127,0.825914,1.059011,1.095678,0.910454,0.824792,0.52165,-0.033134,0.435884,0.312847,0.490141,0.944602,0.115959,0.960224,0.978424,0.561936,0.676671,1.015711,0.895854,1.069328,0.437065,1.077191,0.9425,1.195006,0.382952,0.79946,0.285594,1.161863,0.605474,0.536933,0.205403,0.409817,0.40059,0.973493
"2pt[07]",0.39343,0.508233,0.25005,0.354998,0.606482,0.570387,0.570543,0.440585,0.377017,0.710173,0.335635,0.692066,0.573559,-0.033107,0.365086,0.165875,0.363195,0.555082,0.447341,0.492923,0.530684,0.244434,0.056935,0.043036,0.721127,0.585497,0.821203,0.569457,0.966889,0.856501,0.466146,0.979671,0.983031,0.251845,0.24915,0.747591,0.144036,0.360969,0.779113,0.284006,0.455031,0.225356,0.332313,0.876622,0.352903,0.452869,0.721839,0.772024,0.604276,0.877073,0.703368,0.490303,0.714815,0.599387,0.192922,0.644973,-0.06175,0.879295,0.447627,0.365277,0.713901,0.122829,0.646986,0.665727,0.521374,0.634041,0.409146,0.627017,0.415763,0.510648,0.356302,0.533717,0.428153,0.345219,0.762304,0.561108,0.615772,0.231718,0.571922,0.29409,0.471799,0.62469,0.236422,0.705488,0.506001,0.901282,0.452782,0.575919,0.50285,0.579608,0.322194,0.502028,0.343707,0.482625,0.308314,0.524663,0.111869,0.712309,0.775738,0.681354,0.39343,0.508233,0.25005,0.354998,0.606482,0.570387,0.570543,0.440585,0.377017,0.710173,0.335635,0.692066,0.573559,-0.033107,0.365086,0.165875,0.363195,0.555082,0.447341,0.492923,0.530684,0.244434,0.056935,0.043036,0.721127,0.585497,0.821203,0.569457,0.966889,0.856501,0.466146,0.979671,0.983031,0.251845,0.24915,0.747591,0.144036,0.360969,0.779113,0.284006,0.455031,0.225356,0.332313,0.876622,0.352903,0.452869,0.721839,0.772024,0.604276,0.877073,0.703368,0.490303,0.714815,0.599387,0.192922,0.644973,-0.06175,0.879295,0.447627,0.365277,0.713901,0.122829,0.646986,0.665727,0.521374,0.634041,0.409146,0.627017,0.415763,0.510648,0.356302,0.533717,0.428153,0.345219,0.762304,0.561108,0.615772,0.231718,0.571922,0.29409,0.471799,0.62469,0.236422,0.705488,0.506001,0.901282,0.452782,0.575919,0.50285,0.579608,0.322194,0.502028,0.343707,0.482625,0.308314,0.524663,0.111869,0.712309,0.775738,0.681354
